env_id,mass_g,mass_kg,bending_lever_arm_m,expected_Fx_N,expected_My_Nm,settled,settle_time_s,sample_count,tare_sample_count,sample_max_relative_speed_m_s,sample_max_relative_angular_speed_rad_s,sample_max_position_error_m,sample_min_broad_normal_z,sample_max_abs_sensor_axis_z,Fx_N,Fx_std_N,raw_Fx_N,raw_Fx_std_N,tare_Fx_N,tare_Fx_std_N,Fy_N,Fy_std_N,raw_Fy_N,raw_Fy_std_N,tare_Fy_N,tare_Fy_std_N,Fz_N,Fz_std_N,raw_Fz_N,raw_Fz_std_N,tare_Fz_N,tare_Fz_std_N,Mx_Nm,Mx_std_Nm,raw_Mx_Nm,raw_Mx_std_Nm,tare_Mx_Nm,tare_Mx_std_Nm,My_Nm,My_std_Nm,raw_My_Nm,raw_My_std_Nm,tare_My_Nm,tare_My_std_Nm,Mz_Nm,Mz_std_Nm,raw_Mz_Nm,raw_Mz_std_Nm,tare_Mz_Nm,tare_Mz_std_Nm,Fx_error_N,Fx_error_percent,My_error_Nm,My_error_percent,measured_lever_arm_m
0,10,0.01,0.13369999999999999,0.0981,0.01311597,True,1.4958333333333333,240,180,0.0013061689678579569,0.013486572541296482,1.5083378457347862e-06,0.9999831318855286,0.0001379251480102539,0.09804976085821816,3.987108111878823e-07,2.0600135574738183,3.9871081118788057e-07,1.9619637966156005,1.879169580254268e-07,0.0006110822238648903,1.0077117478785384e-06,0.012045703106559813,1.0077117478785382e-06,0.01143462088269492,5.957890712376131e-08,-2.633984469058398e-05,8.291645605934777e-07,-0.0002839069415737564,8.291645605934776e-07,-0.0002575670968831724,2.81190368763013e-08,-8.170740264985325e-05,1.3707095785830727e-07,-0.0016106518548137199,1.3707095785830746e-07,-0.0015289444521638669,7.651666622721119e-09,0.013109544788797675,4.566219445584081e-08,0.2754241097718477,4.566219445584081e-08,0.26231456498305,1.994852443542025e-08,1.537296462746293e-05,2.9359724833064617e-08,1.582992537502529e-05,2.9359724833064617e-08,4.5696074756228376e-07,6.256666446474809e-09,-5.0239141781843744e-05,-0.05121217307017711,-6.425211202323866e-06,-0.04898769364617231,0.13370297565288639
1,20,0.02,0.13369999999999999,0.1962,0.02623194,True,1.4958333333333333,240,180,0.001338765025138855,0.013855118304491043,1.5972765368132968e-06,0.9999831914901733,0.00014448165893554688,0.19610039724244033,4.4319279207431115e-05,2.158064293861389,4.431927920743117e-05,1.961963896618949,1.9778215633351501e-07,0.0012232670444063897,0.00014452250936742832,0.012657917279284447,0.00014452250936742818,0.011434650234878063,6.316693514075029e-08,-5.022367870171583e-05,0.00025591277483692375,-0.0003085106979597185,0.00025591277483692375,-0.00025828701925800286,3.230746204889268e-08,-0.000163604698577223,1.914068477905063e-05,-0.001692558363720309,1.9140684779050626e-05,-0.0015289536651430858,1.0152581548470367e-08,0.026219159944190065,8.967449339363967e-07,0.2885337588687738,8.967449339363969e-07,0.26231459892458386,2.315572095263602e-08,3.0844136422242716e-05,4.590713804131822e-06,3.129636597047162e-05,4.590713804131824e-06,4.522295482287417e-07,7.286020669841826e-09,-9.960275755968584e-05,-0.050765931477923465,-1.2780055809933494e-05,-0.048719445873745874,0.13370273754099096
2,30,0.03,0.13369999999999999,0.2943,0.03934791,True,1.4958333333333333,240,180,0.0013614986091852188,0.014259899966418743,1.1171896403538994e-06,0.9999829530715942,0.00015246868133544922,0.2941513763533686,1.5179512929451817e-06,2.2561147193113964,1.5179512929451836e-06,1.9619633429580265,2.1843328289484862e-07,0.0018414512716440742,2.901060918181394e-06,0.013276125125897428,2.901060918181397e-06,0.011434673854253358,6.93281135227069e-08,-7.994843068041147e-05,6.0050689656213e-06,-0.00033822603339406975,6.005068965621303e-06,-0.00025827760271365856,3.994790573307208e-08,-0.00024621523334644626,3.8208013201238076e-07,-0.0017751687963027507,3.820801320123807e-07,-0.0015289535629563033,9.6200783511402e-09,0.039328927256994786,6.349777707320186e-08,0.3016434606164694,6.349777707320209e-08,0.26231453335947463,3.375727049627813e-08,4.6294111292708225e-05,9.923769507023831e-08,4.674500200962939e-05,9.923769507023826e-08,4.5089071692119533e-07,8.67550629704756e-09,-0.00014862364663142946,-0.05050072940245649,-1.898274300521363e-05,-0.04824333237829819,0.13370301966477402
3,40,0.04,0.13369999999999999,0.3924,0.05246388,True,1.4958333333333333,240,180,0.001359730726107955,0.01419078093022108,7.767565080030181e-07,0.9999827146530151,0.00016045570373535156,0.3922016633881459,0.00017719251307388246,2.3541651288668315,0.00017719251307388249,1.9619634654786853,2.0741855867674965e-07,0.002455300575173974,0.00028354655962807443,0.013889977269961188,0.0002835465596280745,0.011434676694787212,7.657529724191784e-08,-0.00011254147987832182,0.0007453663002158809,-0.00037082156450196635,0.0007453663002158808,-0.00025828008462364473,3.9105595219635795e-08,-0.00032830586957667546,3.750617990841652e-05,-0.001857258788368199,3.7506179908416496e-05,-0.0015289529187915226,1.2169475187267335e-08,0.052438650238845336,5.365360542706613e-06,0.314753199989597,5.365360542706615e-06,0.2623145497507519,3.1510782975819205e-08,6.185911722522189e-05,9.341182689821071e-06,6.231234668424198e-05,9.341182689821068e-06,4.5322945901994496e-07,7.771286342885544e-09,-0.00019833661185414408,-0.0505444984337778,-2.5229761154661745e-05,-0.04808977367793184,0.1337032836266912
4,50,0.05,0.13369999999999999,0.49050000000000005,0.06557985,True,1.4958333333333333,240,180,0.0013109189458191395,0.0135535579174757,8.228170145230251e-07,0.9999827146530151,0.00016939640045166016,0.4902520279089619,9.820486526378327e-07,2.4522159655888873,9.820486526378317e-07,1.9619639376799265,1.72899966929719e-07,0.003075732791330651,9.439389122920386e-06,0.014510391982427488,9.439389122920383e-06,0.011434659191096822,6.617327362866608e-08,-0.000146457011295651,8.701190623386252e-06,-0.00040474343538032066,8.701190623386256e-06,-0.00025828642408467004,3.5263850030991284e-08,-0.0004112444269897736,1.248487867641338e-06,-0.0019401981839716124,1.248487867641337e-06,-0.0015289537569818398,1.0120008401668714e-08,0.06554840720362115,1.5736093508537052e-07,0.3278630127509435,1.5736093508537052e-07,0.26231460554732217,2.129528670752091e-08,7.760849403426725e-05,2.907304425637545e-07,7.80609809832337e-05,2.907304425637545e-07,4.52486948966503e-07,7.331851864343379e-09,-0.0002479720910381622,-0.05055496249503816,-3.1442796378844395e-05,-0.04794581930096577,0.13370349018891414
5,60,0.06,0.13369999999999999,0.5886,0.07869582,True,1.4958333333333333,240,180,0.001351510058157146,0.013882932253181934,1.0147023203899153e-06,0.9999825954437256,0.00017595291137695312,0.5883025228977178,0.0002515392782498515,2.550266319513321,0.00025153927824985117,1.9619637966156005,1.879169580254268e-07,0.003695703619935881,0.00268857557271662,0.01513032450263078,0.00268857557271662,0.01143462088269492,5.957890712376131e-08,-0.0001789901935909352,0.00252172596330757,-0.0004365572904741081,0.002521725963307569,-0.0002575670968831724,2.81190368763013e-08,-0.000494145102695459,0.00035702978212886225,-0.002023089554859325,0.00035702978212886235,-0.0015289444521638669,7.651666622721119e-09,0.07865831305583298,5.936836411047795e-05,0.3409728780388832,5.936836411047798e-05,0.26231456498305,1.994852443542025e-08,9.337368302608573e-05,9.011364356598603e-05,9.383064377364766e-05,9.011364356598602e-05,4.5696074756228376e-07,6.256666446474809e-09,-0.0002974771022822287,-0.05053977272888696,-3.7506944167015055e-05,-0.047660656140332554,0.13370385132532997
6,70,0.07,0.13369999999999999,0.6867000000000001,0.09181179,True,1.4958333333333333,240,180,0.0012476015836000443,0.012632503174245358,1.010645974020008e-06,0.9999825954437256,0.00018596649169921875,0.6863543152809112,0.00012351307245344508,2.648318111896515,0.00012351307245344516,1.9619637966156005,1.879169580254268e-07,0.004321547066016765,0.00038215549198267976,0.015756167948711663,0.00038215549198268003,0.01143462088269492,5.957890712376131e-08,-0.0002198583918571877,0.0007509785394162522,-0.00047742548874036097,0.0007509785394162517,-0.0002575670968831724,2.81190368763013e-08,-0.0005778553180991573,5.0610431504426454e-05,-0.002106799770263024,5.0610431504426454e-05,-0.0015289444521638669,7.651666622721119e-09,0.09176842235028722,2.1148940741885963e-06,0.3540829873333375,2.1148940741885904e-06,0.26231456498305,1.994852443542025e-08,0.00010927627743326591,1.2194860600554016e-05,0.00010973323818082766,1.2194860600554011e-05,4.5696074756228376e-07,6.256666446474809e-09,-0.0003456847190889123,-0.050339991129883827,-4.336764971278606e-05,-0.04723538198393263,0.13370415295302432
7,80,0.08,0.13369999999999999,0.7848,0.10492776,True,1.4958333333333333,240,180,0.0012938176514580846,0.013211395591497421,1.1308450211799936e-06,0.9999826550483704,0.00019466876983642578,0.784405136108395,7.201272274972439e-07,2.746368932723999,7.201272274972439e-07,1.9619637966156005,1.879169580254268e-07,0.004952672760312767,1.3360376342920522e-05,0.016387293643007676,1.3360376342920519e-05,0.01143462088269492,5.957890712376131e-08,-0.0002579564870555045,1.0843896207248664e-05,-0.0005155235839386781,1.0843896207248664e-05,-0.0002575670968831724,2.81190368763013e-08,-0.0006622878304268756,1.777920342409502e-06,-0.002191232282590742,1.7779203424095002e-06,-0.0015289444521638669,7.651666622721119e-09,0.10487825336555615,2.957795781594459e-07,0.36719281834860645,2.9577957815944625e-07,0.26231456498305,1.994852443542025e-08,0.00012527513706841285,4.006456151431686e-07,0.00012573209781597446,4.0064561514316864e-07,4.5696074756228376e-07,6.256666446474809e-09,-0.0003948638916050351,-0.05031395152969356,-4.9506634443849395e-05,-0.047181636626808195,0.13370419001318634
8,90,0.09,0.13369999999999999,0.8829,0.11804372999999999,True,1.4958333333333333,240,180,0.0012387525057420135,0.01242474839091301,1.15310820092418e-06,0.9999823570251465,0.00020396709442138672,0.8824559026294252,4.879467317504757e-05,2.8444197992483775,4.879467317504753e-05,1.961963896618949,1.9778215633351501e-07,0.005585945351049279,3.920270989137578e-05,0.01702059558592737,3.920270989137578e-05,0.011434650234878063,6.316693514075029e-08,-0.0003022639700146908,4.4496059300735094e-05,-0.0005605509892726938,4.449605930073512e-05,-0.00025828701925800286,3.230746204889268e-08,-0.0007468942355545696,5.201621671791178e-06,-0.002275847900697651,5.201621671791182e-06,-0.0015289536651430858,1.0152581548470367e-08,0.11798838770224022,7.947835027766546e-06,0.38030298662682377,7.947835027766534e-06,0.26231459892458386,2.315572095263602e-08,0.00014133302497912022,1.2405498873364839e-06,0.00014178525452734903,1.2405498873364832e-06,4.522295482287417e-07,7.286020669841826e-09,-0.00044409737057482523,-0.05029984942516992,-5.534229775976118e-05,-0.046882877862094996,0.13370457079008033
9,100,0.1,0.13369999999999999,0.9810000000000001,0.1311597,True,1.4958333333333333,240,180,0.0013555999612435699,0.014007890596985817,1.1987854122708086e-06,0.9999822378158569,0.00021278858184814453,0.9805075801081107,0.00030363221162330365,2.942470923066139,0.0003036322116233038,1.9619633429580265,2.1843328289484862e-07,0.0062270781232250825,0.0004129149957319074,0.017661751977478466,0.0004129149957319074,0.011434673854253358,6.93281135227069e-08,-0.00034389378588962807,0.0008284015799573431,-0.000602171388603286,0.0008284015799573433,-0.00025827760271365856,3.994790573307208e-08,-0.0008326644931609461,5.482124671113047e-05,-0.0023616180561172465,5.4821246711130464e-05,-0.0015289535629563033,9.6200783511402e-09,0.13109835431807537,2.3703534323681986e-05,0.39341288767755034,2.3703534323681973e-05,0.26231453335947463,3.375727049627813e-08,0.0001571878798864004,1.3134109748141029e-05,0.0001576387706033226,1.3134109748141024e-05,4.5089071692119533e-07,8.67550629704756e-09,-0.0004924198918894174,-0.050195707633987494,-6.134568192461831e-05,-0.04677174614200728,0.1337045801355462
