env_id,mass_g,mass_kg,tilt_deg,bending_lever_arm_m,payload_normal_offset_m,settled,settle_time_s,sample_count,tare_sample_count,sample_max_relative_speed_m_s,sample_max_relative_angular_speed_rad_s,sample_max_position_error_m,sample_max_abs_downhill_displacement_m,sample_max_payload_tool_angle_deg,sample_min_edge_margin_m,sample_min_broad_normal_z,sample_max_broad_normal_z,sample_max_abs_sensor_axis_z,expected_Fx_N,Fx_N,Fx_std_N,raw_Fx_N,raw_Fx_std_N,tare_Fx_N,tare_Fx_std_N,Fx_error_N,expected_Fy_N,Fy_N,Fy_std_N,raw_Fy_N,raw_Fy_std_N,tare_Fy_N,tare_Fy_std_N,Fy_error_N,expected_Fz_N,Fz_N,Fz_std_N,raw_Fz_N,raw_Fz_std_N,tare_Fz_N,tare_Fz_std_N,Fz_error_N,expected_Mx_Nm,Mx_Nm,Mx_std_Nm,raw_Mx_Nm,raw_Mx_std_Nm,tare_Mx_Nm,tare_Mx_std_Nm,Mx_error_Nm,expected_My_Nm,My_Nm,My_std_Nm,raw_My_Nm,raw_My_std_Nm,tare_My_Nm,tare_My_std_Nm,My_error_Nm,expected_Mz_Nm,Mz_Nm,Mz_std_Nm,raw_Mz_Nm,raw_Mz_std_Nm,tare_Mz_Nm,tare_Mz_std_Nm,Mz_error_Nm,measured_force_tilt_deg,measured_bending_tilt_deg,measured_lever_from_My_Fx_m,measured_lever_from_Mx_Fy_m,effective_Mz_Fy_ratio_m
0,10,0.01,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0010763650061562657,0.012814553454518318,0.0017719405004754663,0.0017684772610664368,0.06852804124355316,0.03823152184486389,0.9857953786849976,0.9857956171035767,0.00013887882232666016,0.09670655056834221,0.09666649765438554,7.918556039758232e-05,2.0308090269565584,7.918556039758212e-05,1.9341425293021732,1.7573379332795995e-07,-4.0052913956672986e-05,-0.016475854441523552,-0.016423813212249116,0.0003787565161120539,-0.3458559020111958,0.0003787565161120539,-0.3294320887989468,1.0401185141758832e-07,5.204122927443544e-05,-1.3612210750579834e-05,-2.8629873203398175e-05,0.00015200514210784375,-0.0002857025909179356,0.0001520051421078438,-0.00025707271771453733,6.184670861710915e-08,-1.5017662452818341e-05,0.002204670337960124,0.002197704515937316,5.010447264508023e-05,0.046242616667101784,5.0104472645080165e-05,0.044044912151164475,1.3080550641611189e-08,-6.965822022808165e-06,0.012940729036927223,0.01293475963175302,9.08854205281872e-06,0.27152967639267445,9.088542052818714e-06,0.2585949167609215,2.2993247808849283e-08,-5.9694051742029824e-06,-0.00025735003873705864,-0.00025758180867098917,1.2758888405193052e-05,-0.00025713884885287066,1.2758888405193067e-05,4.429598181193089e-07,4.427824269152421e-09,-2.3176993393052682e-07,9.642577545333587,9.642859126614782,0.13380809220997156,0.13381207442728563,0.015683435103784605
1,20,0.02,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0008590213255956769,0.009642716497182846,0.0017374277813360095,0.0017337203025817871,0.06852804124355316,0.03826627880334854,0.9857981204986572,0.9857981204986572,0.0001442432403564453,0.1934136152267456,0.19333325392670084,1.3750336552527272e-07,2.1274757196505862,1.3750336552527296e-07,1.9341424657238855,1.7791879575303086e-07,-8.036130004476782e-05,-0.03294859081506729,-0.032848213323288286,4.7314269313664326e-08,-0.3622802762935559,4.7314269313664055e-08,-0.3294320629702674,9.385397564516242e-08,0.00010037749177900512,-2.82973051071167e-05,-5.2170399067108715e-05,3.1282797415241055e-08,-0.0003092607627574277,3.1282797415241075e-08,-0.00025709036369031915,5.631445148426902e-08,-2.3873093959992015e-05,0.004409013316035271,0.004395598618106695,8.416627752002268e-09,0.04844050981725256,8.416627752002283e-09,0.044044911199145845,1.2415830518464675e-08,-1.341469792857583e-05,0.02588207647204399,0.02587058838042956,3.078347898756563e-08,0.28446549785633884,3.078347898756567e-08,0.25859490947590935,2.4824166613543965e-08,-1.1488091614431789e-05,-0.0005213359254412353,-0.0005218548392092118,5.665346242711767e-09,-0.000521412046267263,5.665346242711768e-09,4.427929419471689e-07,4.473426935152646e-09,-5.189137679764569e-07,9.642733940719033,9.642876209212687,0.13381344313502308,0.1338154551922117,0.015886856130443907
2,30,0.03,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0009163767099380493,0.010419430211186409,0.001703281537629664,0.001699395477771759,0.06852804124355316,0.03830060362815857,0.9858009815216064,0.9858009815216064,0.0001531839370727539,0.29012125730514526,0.2900004456440609,4.3891713664863036e-07,2.224143116672834,4.3891713664862956e-07,1.934142671028773,2.0101161070584676e-07,-0.00012081166108435237,-0.04941798746585846,-0.04926714458399321,4.362658696480063e-06,-0.37869928206006687,4.362658696480077e-06,-0.32943213747607336,9.816926441992254e-08,0.0001508428818652527,-4.509091377258301e-05,-8.399558480757808e-05,3.1302559803335975e-06,-0.0003410652666692234,3.1302559803335966e-06,-0.0002570696818616448,5.797166675470161e-08,-3.890467103499507e-05,0.006612944416701794,0.006592781013912595,5.842525256948558e-07,0.05063769680758317,5.842525256948558e-07,0.04404491579367055,1.2812669335539513e-08,-2.016340278919882e-05,0.038823746144771576,0.03880696342223232,5.891469413629873e-08,0.2974018962432941,5.891469413629893e-08,0.2585949328210619,2.277945332680865e-08,-1.67827225392575e-05,-0.0007918304763734341,-0.0007924675546945517,1.2313769784791422e-07,-0.0007920254928952393,1.2313769784791425e-07,4.4206179931431205e-07,3.746276244213528e-09,-6.370783211176586e-07,9.641721690047047,9.64172740178673,0.1338169096121424,0.13381699040164335,0.01608511232761849
3,40,0.04,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0009284456027671695,0.010597781278192997,0.0016702135326340795,0.001666150987148285,0.06852804124355316,0.03833384811878204,0.9858036041259766,0.9858036041259766,0.00016188621520996094,0.3868293762207031,0.3866683536105665,4.3945529580032773e-07,2.320810916026433,4.394552958003265e-07,1.9341425624158648,2.274544754444383e-07,-0.00016102261013661856,-0.0658845454454422,-0.06568565339677856,8.252026802335201e-06,-0.3951177521298329,8.252026802335228e-06,-0.3294320987330543,1.1396694870297929e-07,0.00019889204866363475,-6.35385513305664e-05,-0.00011720318143488886,5.427812156422433e-06,-0.0003742770190001465,5.427812156422421e-06,-0.00025707383756525817,5.593295520220955e-08,-5.366463010432246e-05,0.008816540241241455,0.008789953755007823,1.1026482222829135e-06,0.05283486588547627,1.1026482222829144e-06,0.04404491213046842,1.28748940268221e-08,-2.65864862336318e-05,0.05176577344536781,0.051743786616458,9.545487352718587e-08,0.3103387050330639,9.545487352718565e-08,0.25859491841660603,2.7732029837946695e-08,-2.1986828909810463e-05,-0.001068479847162962,-0.0010687258422592595,2.44424825907797e-07,-0.001068283487984445,2.444248259077968e-07,4.4235427480998625e-07,4.25535467489899e-09,-2.459950962975261e-07,9.641137198365321,9.641060693718991,0.13381955397511486,0.1338184717736082,0.016270308461477118
4,50,0.05,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0008919959655031562,0.010047471150755882,0.0016371299279853702,0.0016328543424606323,0.05595291033387184,0.038367144763469696,0.9858059883117676,0.9858059883117676,0.0001709461212158203,0.483537882566452,0.4833362231651923,4.716462331462903e-06,2.417478526631991,4.716462331462904e-06,1.9341423034667968,1.8587801568608358e-07,-0.00020165940125971282,-0.08234882354736328,-0.08210560633904435,1.0700622999201124e-05,-0.4115376461297274,1.0700622999201121e-05,-0.3294320397906833,1.0280265535688656e-07,0.00024321720831893545,-8.386373519897461e-05,-0.00015271077807281326,1.5882906274828798e-05,-0.00040979877885547464,1.5882906274828788e-05,-0.00025708800078266196,5.8552210068487684e-08,-6.884704287383865e-05,0.011019911617040634,0.010987370901016747,1.4052567357844836e-06,0.05503227796095113,1.4052567357844861e-06,0.044044907059934406,1.2535974488453954e-08,-3.2540716023887056e-05,0.06470836699008942,0.06468108859327092,8.761415371922211e-08,0.3232759714126587,8.761415371922189e-08,0.25859488281938764,2.742466686529124e-08,-2.7278396818500306e-05,-0.0013515206519514322,-0.001351272330641641,2.684798720562911e-07,-0.001350829923467245,2.684798720562911e-07,4.424071744008668e-07,4.150896193230536e-09,2.4832130979127523e-07,9.640953644814543,9.6408010860256,0.13382214179954918,0.13381998368839562,0.016457735237490834
5,60,0.06,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0010882833739742637,0.011840085498988628,0.0016063560033217072,0.0016019642353057861,0.06852804124355316,0.03839803487062454,0.9858083724975586,0.9858086109161377,0.00018167495727539062,0.580246877670288,0.5800048357910569,0.00031412528780043534,2.514147365093231,0.00031412528780043567,1.9341425293021732,1.7573379332795995e-07,-0.0002420418792311585,-0.098810213804245,-0.09852157367600353,0.003981674587611107,-0.42795366247495015,0.003981674587611106,-0.3294320887989468,1.0401185141758832e-07,0.0002886401282414658,-0.00010685920715332031,-0.0001947327887036305,0.002777079125670718,-0.0004518055064181681,0.002777079125670718,-0.00025707271771453733,6.184670861710915e-08,-8.787358155031018e-05,0.013222824595868588,0.013184185502015906,0.000530878447002781,0.057229097653180364,0.000530878447002781,0.044044912151164475,1.3080550641611189e-08,-3.8639093852682604e-05,0.07765065282583236,0.07761799929042655,8.546103953767598e-05,0.33621291605134807,8.546103953767588e-05,0.2585949167609215,2.2993247808849283e-08,-3.265353540581051e-05,-0.0016400612192228436,-0.0016384274621219963,0.00012688238954256946,-0.0016379845023038798,0.00012688238954256938,4.429598181193089e-07,4.427824269152421e-09,1.6337571008473092e-06,9.640436480478611,9.640243396483864,0.1338230209487218,0.13382028940557938,0.016630138973521703
6,70,0.07,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0008495809161104262,0.009446435607969761,0.0015539623564109206,0.0015494003891944885,0.07912936061620712,0.03845059871673584,0.9858108758926392,0.9858108758926392,0.00018846988677978516,0.6769563555717468,0.6766740765836505,4.285414899453221e-05,2.6108166058858235,4.2854148994531956e-05,1.9341425293021732,1.7573379332795995e-07,-0.00028227898809629615,-0.1152682900428772,-0.11493421801262463,1.9686406138656083e-05,-0.44436630681157113,1.9686406138656093e-05,-0.3294320887989468,1.0401185141758832e-07,0.00033407203025256904,-0.00012940168380737305,-0.00022901687160709896,8.413057554506734e-05,-0.0004860895893216366,8.41305755450673e-05,-0.00025707271771453733,6.184670861710915e-08,-9.961518779972591e-05,0.015425285324454308,0.015380589731244615,2.553234846790532e-06,0.059425501882409054,2.553234846790532e-06,0.044044912151164475,1.3080550641611189e-08,-4.469559320969228e-05,0.09059297293424606,0.09055478163063545,9.298582478603763e-06,0.34914969839155674,9.29858247860376e-06,0.2585949167609215,2.2993247808849283e-08,-3.8191303610615734e-05,-0.0019480978371575475,-0.0019456344554819114,4.89017391018007e-07,-0.0019451914956637969,4.890173910180072e-07,4.429598181193089e-07,4.427824269152421e-09,2.4633816756360494e-06,9.63978481954719,9.639606089822001,0.1338233349913783,0.13382080634641963,0.016928243730411064
7,80,0.08,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0011495569488033652,0.012575354427099228,0.0015222331276163459,0.001517564058303833,0.05595291033387184,0.038482435047626495,0.9858137965202332,0.9858139753341675,0.0002009868621826172,0.7736668437719345,0.7733452465799133,0.00038419731756312767,2.7074877758820852,0.00038419731756312767,1.9341425293021732,1.7573379332795995e-07,-0.00032159719202118353,-0.13172227889299393,-0.13133571305208777,0.0027027432999986957,-0.46076780185103416,0.0027027432999986918,-0.3294320887989468,1.0401185141758832e-07,0.00038656584090615564,-0.0001576244831085205,-0.0002772752029058107,0.0009434471034123207,-0.0005343479206203483,0.0009434471034123203,-0.00025707271771453733,6.184670861710915e-08,-0.0001196507197972902,0.017627202440053225,0.017575441011124213,0.0003578911208819275,0.061620353162288664,0.00035789112088192745,0.044044912151164475,1.3080550641611189e-08,-5.176142892901123e-05,0.10353554412722588,0.10349206241468623,5.0199479207205105e-05,0.36208697917560734,5.019947920720509e-05,0.2585949167609215,2.2993247808849283e-08,-4.3481712539650275e-05,-0.002250739373266697,-0.002247592313509804,8.108891634884329e-05,-0.002247149353691687,8.10889163488433e-05,4.429598181193089e-07,4.427824269152421e-09,3.1470597568927956e-06,9.638469605628702,9.638246909975635,0.13382388121266084,0.13382073011743417,0.01711333696888986
8,90,0.09,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0010346052004024386,0.012137092649936676,0.0004700454301200807,0.00046900659799575806,0.08846931904554367,0.03953099250793457,0.9858161211013794,0.9858161211013794,0.00020897388458251953,0.8703770637512207,0.8700144009457726,3.731562210842445e-07,2.804156866669655,3.731562210842454e-07,1.9341424657238855,1.7791879575303086e-07,-0.0003626628054480552,-0.14817526936531067,-0.14774363670084237,1.3616171354042485e-07,-0.4771756996711095,1.3616171354042514e-07,-0.3294320629702674,9.385397564516242e-08,0.00043163266446830106,-0.00018447637557983398,-0.0003194538114864063,7.161241234746367e-08,-0.000576544175176726,7.161241234746364e-08,-0.00025709036369031915,5.631445148426902e-08,-0.00013497743590657233,0.019815746694803238,0.019758017309423916,1.5500101705314795e-08,0.06380292850856979,1.5500101705314795e-08,0.044044911199145845,1.2415830518464675e-08,-5.7729385379321624e-05,0.11640138924121857,0.11635241057309785,4.741234701983946e-08,0.3749473200490077,4.741234701983924e-08,0.25859490947590935,2.4824166613543965e-08,-4.8978668120716606e-05,-0.0034443638287484646,-0.0034451366795004786,1.0726717426447844e-08,-0.0034446938865585254,1.0726717426447866e-08,4.427929419471689e-07,4.473426935152646e-09,-7.728507520139878e-07,9.63788006862558,9.637567212284079,0.1337361892476881,0.1337317650399441,0.02331834220702404
9,100,0.1,10.0,0.13369999999999999,0.026000000000000002,True,1.4958333333333333,240,180,0.0008911897311918437,0.009888012893497944,0.0006800364935770631,0.000653974711894989,0.12511451542377472,0.03934602439403534,0.9858182668685913,0.9858182668685913,0.00021648406982421875,0.9670877456665039,0.9666828523079538,1.248211492757492e-06,2.9008255233367284,1.2482114927574932e-06,1.934142671028773,2.0101161070584676e-07,-0.0004048933585500958,-0.16462767124176025,-0.16415902732147108,3.187307283654169e-06,-0.4935911647975445,3.1873072836541633e-06,-0.32943213747607336,9.816926441992254e-08,0.000468643920289169,-0.0002123117446899414,-0.0003589227309728606,5.04068542778388e-06,-0.0006159924128345058,5.040685427783864e-06,-0.0002570696818616448,5.797166675470161e-08,-0.0001466109862829192,0.021979883313179016,0.021917217204140214,4.224549408047213e-07,0.06596213299781084,4.224549408047213e-07,0.04404491579367055,1.2812669335539513e-08,-6.266610903880171e-05,0.12912483513355255,0.12912714514467466,1.3644344716162165e-07,0.3877220779657364,1.3644344716162183e-07,0.2585949328210619,2.277945332680865e-08,2.3100111221086017e-06,-0.004912787117063999,-0.004992394967929196,2.436850395167084e-07,-0.004991952906129882,2.436850395167088e-07,4.4206179931431205e-07,3.746276244213528e-09,-7.960785086519664e-05,9.63784548240968,9.633210658470523,0.13357756873041018,0.13351210446209535,0.03041194291528443
